FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-08-18_CSN3219_ZGGG_ZLXY,2025-08-18 08:07:49,FPL,CSN3219,,A21N,,B303W,,ZGGG,ZLXY,,,,,,,"(FPL-CSN3219-IS
-A21N/M-SDE2E3FGHIJ3J7LM3OP2RVWYZ/LB1D1
-ZGGG0410
-K0860S0840 AGVIL W24 OSNOV G586 QP B330 SJG/K0844S0810 W102 
BIGVI/K0848S0890 W102 SHX
-ZLXY0158 ZHNY
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B303W EET/ZHWH0106 
ZLHW0126 SEL/FPAM CODE/78156F PER/C RMK/ACASII HUD)"
2025-08-18_CHH7466_ZLXY_ZJHK,2025-08-18 08:47:10,FPL,CHH7466,,A20N,,B32K7,,ZLXY,ZJHK,,,,,,,"(FPL-CHH7466-IS
-A20N/M-SDE1E2E3FGHIM3RWYZ/LB1
-ZLXY0415
-M078S1040 NSH W30 TAMUS W180 LIDMA/M078S1010 W180 ELBAV 
W181 P478 H68 P479 R339 BHY W70 NYB
-ZJHK0244 ZGNN ZJQH
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B32K7 EET/ZPKM0032
 ZGZU0127 
ZJSA0217 SEL/2456 CODE/7821BD OPR/HAINAN AIRLINES RMK/ACAS II AND 
CATII OPERATION)"
2025-08-18_TBA6039_ZLXY_ZGSZ,2025-08-18 10:35:42,DLA,TBA6039,,,,,,ZLXY,ZGSZ,,,,0630,,,(DLA-TBA6039-ZLXY0630-ZGSZ-0)
2025-08-18_CSN5841_ZGSZ_ZLXY,2025-08-18 11:34:21,FPL,CSN5841,,321-253N,,B308D,,ZGSZ,ZLXY,,,,,,,"(FPL-CSN5841-IS
-A21N/M-SADE2E3FGHIJ3J5LM1OP2RVWYZ/LB1D1
-ZGSZ0705
-K0881S0920 MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 
SJG/K0852S0890 W102 BIGVI/K0851S0950 W102 SHX
-ZLXY0210 ZHNY
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B308D EET/ZHWH0118 
ZLHW0138 SEL/FMCR CODE/781690 PER/C RMK/ACASII HUD)"
2025-08-18_CSC3266_ZWSH_ZLXY,2025-08-18 11:42:18,DLA,CSC3266,,,,,,ZWSH,ZLXY,,,,0435,,,(DLA-CSC3266-ZWSH0435-ZLXY-DOF/250818)
2025-08-18_CMS561_UGTB_ZLXY,2025-08-18 11:45:36,DLA,CMS561,,,,,,UGTB,ZLXY,,,,0410,,,(DLA-CMS561-UGTB0410-ZLXY-DOF/250818)
2025-08-18_CSZ9218_ZWYN_ZLXY,2025-08-18 11:54:04,FPL,CSZ9218,,320NEO,,B30F3,,ZWYN,ZLXY,,,,,,,"(FPL-CSZ9218-IS
-A20N/M-SDE2E3FGHIRWYZ/LB1
-ZWYN0800
-M078S1010 YNN H70 P165 H69 KLM H73 P221 A368 FKG W188 GOVSA W66 
BUVTA B330 BIGUX W214 HO
-ZLXY0329 ZBYC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B30F3 EET/ZLHW0135
 SEL/HMFJ 
CODE/78193F PER/C RALT/ZWWW ZWTL RMK/TCAS CATII300 LVTO200 AOC PHONE
 
008675527777352)"
2025-08-18_CSN3212_ZLXY_ZGGG,2025-08-18 12:27:20,FPL,CSN3212,,A21N,,B303W,,ZLXY,ZGGG,,,,,,,"(FPL-CSN3212-IS
-A21N/M-SDE2E3FGHIJ3J7LM3OP2RVWYZ/LB1D1
-ZLXY0800
-K0885S0920 NSH W30 TAMUS/K0853S0890 W180 LIDMA W182 LAGEX G586 SJG 
B330 GYA
-ZGGG0226 ZGKL
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B303W EET/ZPKM0033 
ZGZU0132 SEL/FPAM CODE/78156F PER/C RMK/ACASII HUD)"
2025-08-18_CDC8154_ZWSH_ZLXY,2025-08-18 12:52:34,FPL,CDC8154,,A21N,,B32AN,,ZWSH,ZLXY,,,,,,,"(FPL-CDC8154-IS
-A21N/M-SDE1FGHIM3RWY/LB2
-ZWSH0910
-K0848S0950 KHG W176 MAGIV W187 TUSLI W112 VIKUP W191 DNC W565 BIGUX
 
W214 HO
-ZLXY0333 ZHLY
-PBN/A1B1C1D1L1O1S2 DOF/250818 REG/B32AN EET/ZLHW0140 SEL/HPAK
 CODE/781E0A 
OPR/ZHEJIANGLOONGAIR RALT/ZLDH ZLXY RMK/ACAS II AOC TEL 057182352500
 
OR 057181689590)"
2025-08-18_CSN3238_ZLXY_ZGGG,2025-08-18 12:53:21,DLA,CSN3238,,,,,,ZLXY,ZGGG,,,,0610,,,(DLA-CSN3238-ZLXY0610-ZGGG-DOF/250818)
2025-08-18_CBJ5035_ZGCZ_ZLXY,2025-08-18 13:03:11,DLA,CBJ5035,,,,,,ZGCZ,ZLXY,,,,0900,,,(DLA-CBJ5035-ZGCZ0900-ZLXY-DOF/250818)
2025-08-18_CMS562_ZLXY_UGTB,2025-08-18 13:19:17,FPL,CMS562,,763,,4LCME,,ZLXY,UGTB,,,,,,,"(FPL-CMS562-IS
-B763/H-SDFGHILORUVWXYZ/LB1
-ZLXY1200
-K0907S0920 TEBIB W541 OVKAB W94 XFG W213 APESU W197
 ANDIM/K0899S0980 B215 TODOD 
W112 TUSLI W187 SADAN W186 KAMUD/N0474F340 L141 TISIB L143 POGON 
A477 BABUM A909 RODAR N644 ADEKI DCT LAMUS LAMUS1B
-UGTB0727 UBBG
-PBN/A1B1C2D2L1O1S1 DAT/CPDLCX SUR/260B DOF/250818 REG/4LCME
 EET/ZWUQ0210 
UCFM0334 UCFO0355 UTTR0420 UAII0441 UTTR0444 UTSD0452 UTAV0519
 UTAA0536 
UTAK0602 UBBA0633 UGGG0705 SEL/JKMS CODE/A4A476 OPR/CAMEX AIRLINES 
RMK/ACAS TCAS 71 EQUIPPED CARGO FLIGHT PERMITS CHINA CAD2025S2711 
DELAYED FROM CMS562 WITH ORIGINAL DATE 17 AUG PKT DAY 1 PERMIT
 KYRGYZSTAN 
932407GCB TURKMENISTAN GC1238497230725 UZBEKISTAN 0725445 GEORGIA 
GEO217025CH TAXI 0010)"
2025-08-18_TGW134_WSSS_ZLXY,2025-08-18 13:21:35,FPL,TGW134,,320NEO,,9VTNF,,WSSS,ZLXY,,,,,,,"(FPL-TGW134-IS
-A20N/M-SDE2FGHIJ3J7RWYZ/LB1D1
-WSSS1105
-M078F360 VMR B469 VPK M751 GUNBO/M078F380 M751 GOLUD/N0453F380 
M751 BKK/N0457F370 R474 VTN/N0462F350 B218 SAGAG/K0854S1100 A581 
BIDRU/K0856S1070 A581 SGM W144 VEDPO/K0853S1100 W144 
IGNAK/K0855S1070 W179 WFX/K0824S0810 W81 NSH
-ZLXY0512 ZUCK
-PBN/A1B2C2D2L1O2S2 NAV/RNP2 DOF/250818 REG/9VTNF EET/WIIF0002
 WSJC0005 
WMFC0007 VTBB0048 VLVT0227 ZPKM0254 ZLHW0440 SEL/JPCH CODE/76D1C6 
OPR/TGW 65 66922614 PER/C RMK/CALLSIGN SCOOTER TCAS)"
2025-08-18_GCR7650_ZWHM_ZLXY,2025-08-18 13:31:23,DLA,GCR7650,,,,,,ZWHM,ZLXY,,,,0630,,,(DLA-GCR7650-ZWHM0630-ZLXY-DOF/250818)
2025-08-18_CSH9203_ZSSS_ZLXY,2025-08-18 13:52:51,CHG,CSH9203,,,,,B5730,ZSSS,ZLXY,,,,,,,"(CHG-CSH9203-ZSSS0820-ZLXY-DOF/250818
-18/PBN/A1B1C1D1L1O1S2 SUR/260 DOF/250818 REG/B5730 EET/ZHWH0055
 ZLHW0133 
SEL/AGKM CODE/7809B4 RMK/TCAS II CAT II APPROVED)"
2025-08-18_CSZ9207_ZGSZ_ZLXY,2025-08-18 14:11:16,FPL,CSZ9207,,B38M,,B1160,,ZGSZ,ZLXY,,,,,,,"(FPL-CSZ9207-IS
-B38M/M-SDE2E3FGHIRWYZ/LB1
-ZGSZ1015
-M078S0980 MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 
SJG/M078S0950 W102 SHX
-ZLXY0213 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B1160 EET/ZHWH0125
 ZLHW0147 
SEL/GKPS CODE/781478 PER/C RMK/TCAS CATII300 LVTO200 AOC PHONE
 008675527777352)"
2025-08-18_CUH3527_ZGZJ_ZLXY,2025-08-18 14:22:25,FPL,CUH3527,,738,,B5429,,ZGZJ,ZLXY,,,,,,,"(FPL-CUH3527-IS
-B738/M-SDE1E2E3FGHIM3RWYZ/LB1
-ZGZJ0930
-M078S0980 BHY R339 P477 H19 KWE/M078S0950 W3 DS W4 IGIRO 
H39 AKD H36 NSH
-ZLXY0232 ZHLY ZLQY
-PBN/A1B1C1D1L1O2S2T1 NAV/ABAS DOF/250818 REG/B5429 EET/ZPKM0101
 ZLHW0157 
SEL/ALFK CODE/780513 OPR/URUMQI AIR RMK/ACAS II)"
2025-08-18_CSN6455_ZYTX_ZLXY,2025-08-18 14:28:47,DLA,CSN6455,,,,,,ZYTX,ZLXY,,,,1200,,,(DLA-CSN6455-ZYTX1200-ZLXY-DOF/250818)
2025-08-18_CSN3203_ZGGG_ZLXY,2025-08-18 14:33:55,DLA,CSN3203,,,,,,ZGGG,ZLXY,,,,0945,,,(DLA-CSN3203-ZGGG0945-ZLXY-DOF/250818)
2025-08-18_AIQ588_VTBD_ZLXY,2025-08-18 14:42:00,FPL,AIQ588,,320,,HSCBR,,VTBD,ZLXY,,,,,,,"(FPL-AIQ588-IS
-A320/M-SDFGHIRWYZ/LB1
-VTBD0940
-N0468F330 UGUVO Y27 PIBAN Y29 PSL W26 CMP W21 UDN/N0466F340 R470 
VTN/N0463F350 B218 SAGAG/K0853S1100 A581 BIDRU/K0860S1070 A581 
SGM W144 VEDPO/K0857S1100 W144 IGNAK/K0851S1130 W179 WFX W81 NSH
-ZLXY0345 ZUCK ZUTF
-PBN/A1B1C1D1L1O1S2 NAV/RNP2 DOF/250818 REG/HSCBR EET/VLVT0057
 VTBB0057 
VLVT0058 ZPKM0125 ZLHW0310 SEL/CMAF CODE/880C52 RMK/TCAS II
 EQUIPPED)"
2025-08-18_AIQ589_ZLXY_VTBD,2025-08-18 14:48:07,FPL,AIQ589,,320,,HSCBR,,ZLXY,VTBD,,,,,,,"(FPL-AIQ589-IS
-A320/M-SDFGHIRWYZ/LB1
-ZLXY1450
-K0854S1040 NSH G212 ONEBA/K0852S1100 G212 LUVEN/K0847S1130 G212 
BOPTU/K0844S1160 G212 SGM A581 BIDRU/K0846S1130 A581 
SAGAG/N0456F380 B218 LPB B346 NOBER DCT NAKON
-VTBD0328 VTBS VTBU
-PBN/A1B1C1D1L1O1S2 NAV/RNP2 DOF/250818 REG/HSCBR EET/ZPKM0039
 VLVT0217 
VTBB0246 SEL/CMAF CODE/880C52 RMK/TCAS II EQUIPPED)"
2025-08-18_VJC7343_ZLXY_VVNB,2025-08-18 15:32:27,FPL,VJC7343,,320,,VNA676,,ZLXY,VVNB,,,,,,,"(FPL-VJC7343-IS
-A320/M-SDGHIRWYZ/SB1
-ZLXY1810
-K0845S0980 NSH G212 SGM A599 ADBAG R471 KATBO/N0449F320 
R471 MEOVA W22 DILEN DILEN3H
-VVNB0238 VVDN VVCI
-PBN/A1B2C1D1L1O2S1S2 NAV/RNP2 DOF/250818 REG/VNA676 EET/ZPKM0034 
VVHN0208 SEL/JPDF CODE/888127 OPR/VIETJET AIR PER/C RALT/ZLXY ZUTF 
VVNB TALT/ZUTF RMK/TCAS EQUIPPED)"
2025-08-18_CCA8113_ZBHH_ZLXY,2025-08-18 15:38:14,FPL,CCA8113,,AJ27,,B651X,,ZBHH,ZLXY,,,,,,,"(FPL-CCA8113-IS
-AJ27/M-SDE1E2E3FGHIRWYZ/LB1
-ZBHH1120
-K0848S0920 IBARO W47 LOVRA
-ZLXY0121 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B651X EET/ZLHW0036 
SEL/ALES CODE/781C20 RMK/TCAS)"
2025-08-18_VJC7342_VVNB_ZLXY,2025-08-18 15:43:14,FPL,VJC7342,,320,,VNA676,,VVNB,ZLXY,,,,,,,"(FPL-VJC7342-IS
-A320/M-SDGHIRWYZ/B1S
-VVNB1425
-N0452F310 DILEN3A DILEN W22 MEOVA R471 KATBO R471 ADBAG A599 SGM
 W144 IGNAK 
W179 WFX W81 NSH
-ZLXY0235 ZUCK
-PBN/A1B2C1D1L1O2S1S2 NAV/RNP2 DOF/250818 REG/VNA676 EET/ZPKM0025 
ZLHW0205 SEL/JPDF CODE/888127 OPR/VIETJET AIR PER/C RALT/VVNB ZUTF 
ZLXY TALT/VVCI RMK/TCAS EQUIPPED)"
2025-08-18_CSN8529_ZHHH_ZLXY,2025-08-18 16:06:22,FPL,CSN8529,,AJ27,,B651W,,ZHHH,ZLXY,,,,,,,"(FPL-CSN8529-IS
-AJ27/M-SDE3FGHILORVWY/LB1
-ZHHH1150
-K0711S0690 BENBI W56 P129/K0749S0660 H14 SHX
-ZLXY0126 ZHNY
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B651W EET/ZLHW0100
 SEL/DRBS 
CODE/781C17 PER/D RMK/ACASII)"
2025-08-18_CES7719_ZSNJ_ZLXY,2025-08-18 16:11:59,FPL,CES7719,,A20N,,B32J9,,ZSNJ,ZLXY,,,,,,,"(FPL-CES7719-IS
-A20N/M-SDE1E2E3FGHIM1RWY/LB1
-ZSNJ1230
-K0845S0780 SUNBO W163 HFE B208 ZHO H14 SHX
-ZLXY0130 ZHLY
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250818 REG/B32J9 EET/ZHWH0029
 ZLHW0108 
SEL/DMAS CODE/782198 RMK/TCAS II CAT II APPROVED)"
2025-08-18_TLM951_ZLXY_VTBD,2025-08-18 16:16:46,FPL,TLM951,,738,,HSLGV,,ZLXY,VTBD,,,,,,,"(FPL-TLM951-IS
-B738/M-SDFGHIRW/EB1
-ZLXY1820
-K0860S1040 NSH G212 LUVEN/K0856S1010 G212 BOPTU/K0859S1040 G212 
SGM A581 BIDRU/K0852S1010 A581 SAGAG/N0462F340 B218 LPB B346 NOBER 
DCT NAKON
-VTBD0321 VTBU
-PBN/A1B1C1D1O1S2 DOF/250818 REG/HSLGV EET/ZPKM0037 VLVT0214
 VTBB0242 
SEL/DFCK CODE/8830F6 OPR/THAI LION MENTARI CO LTD RMK/CALLSIGN
 MENTARI 
TCAS II EQUIPPED)"
2025-08-18_CDC8154_ZLXY_ZSHC,2025-08-18 16:22:33,FPL,CDC8154,,A21N,,B32AN,,ZLXY,ZSHC,,,,,,,"(FPL-CDC8154-IS
-A21N/M-SDE1FGHIM3RWY/LB2
-ZLXY1425
-K0817S0890 P241 H132 P234 H36 SNF W269 OLPOV B213 WHA R343 SAGUD 
W50 XSH H17 JDZ H26 TXN G204 OREXA
-ZSHC0212 ZSNB
-PBN/A1B1C1D1L1O1S2 DOF/250818 REG/B32AN EET/ZHWH0031 ZSHA0118
 SEL/HPAK 
CODE/781E0A OPR/ZHEJIANGLOONGAIR RMK/ACAS II AOC TEL 057182352500 
OR 057181689590)"
2025-08-18_CSZ9213_ZGSZ_ZLXY,2025-08-18 16:28:59,FPL,CSZ9213,,321NEO,,B32DU,,ZGSZ,ZLXY,,,,,,,"(FPL-CSZ9213-IS
-A21N/M-SDE2E3FGHIRWYZ/LB1
-ZGSZ1255
-M078S0980 MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 
SJG/M078S0950 W102 SHX
-ZLXY0211 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B32DU EET/ZHWH0125
 ZLHW0147 
SEL/BMHP CODE/781F38 PER/C RMK/TCAS CATII300 LVTO200 AOC PHONE
 008675527777352)"
2025-08-18_TLM950_VTBD_ZLXY,2025-08-18 16:33:34,FPL,TLM950,,738,,HSLGV,,VTBD,ZLXY,,,,,,,"(FPL-TLM950-IS
-B738/M-SDFGHIRW/EB1
-VTBD1340
-N0465F350 NOBER B346 YAKUA/N0467F330 B346 LPB B218 
SAGAG/K0864S1040 A581 BIDRU/K0862S1070 A581 SGM W144 
VEDPO/K0862S1040 W144 IGNAK/K0863S1070 W179 WFX W81 
SAGPI/K0827S0810 W81 NSH
-ZLXY0325 ZUCK
-PBN/A1B1C1D1O1S2 DOF/250818 REG/HSLGV EET/VLVT0040 ZPKM0108
 ZLHW0254 
SEL/DFCK CODE/8830F6 OPR/THAI LION MENTARI CO LTD RMK/CALLSIGN
 MENTARI 
TCAS II EQUIPPED)"
2025-08-18_CSN5707_ZYTX_ZLXY,2025-08-18 16:47:49,FPL,CSN5707,,A21N,,B8380,,ZYTX,ZLXY,,,,,,,"(FPL-CSN5707-IS
-A21N/M-SDE2E3FGHIJ3J7LM3OP2RVWYZ/LB1D1
-ZYTX1240
-K0856S0840 TOSID A588 UDETI W106 MAKNO W5 HCH W4 SHX
-ZLXY0225 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B8380 EET/ZSHA0043 
ZHWH0123 ZLHW0202 SEL/KSAB CODE/78114F PER/C RMK/ACASII HUD)"
2025-08-18_CCA2893_ZBTJ_ZLXY,2025-08-18 17:01:26,DLA,CCA2893,,,,,,ZBTJ,ZLXY,,,,1035,,,(DLA-CCA2893-ZBTJ1035-ZLXY-DOF/250818)
2025-08-18_CCA8113_ZBHH_ZLXY,2025-08-18 17:16:46,FPL,CCA8113,,AJ27,,B91A5,,ZBHH,ZLXY,,,,,,,"(FPL-CCA8113-IS
-AJ27/M-SDE1E2E3FGHIRWYZ/LB1
-ZBHH1120
-K0848S0920 IBARO W47 LOVRA
-ZLXY0121 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B91A5 EET/ZLHW0036 
SEL/KMAB CODE/781F2B RMK/TCAS)"
2025-08-18_CCA8113_ZBHH_ZLXY,2025-08-18 17:16:46,FPL,CCA8113,,AJ27,,B91A5,,ZBHH,ZLXY,,,,,,,"(FPL-CCA8113-IS
-AJ27/M-SDE1E2E3FGHIRWYZ/LB1
-ZBHH1120
-K0848S0920 IBARO W47 LOVRA
-ZLXY0121 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B91A5 EET/ZLHW0036 
SEL/KMAB CODE/781F2B RMK/TCAS)"
2025-08-18_CSZ9225_ZGGG_ZLXY,2025-08-18 17:35:11,FPL,CSZ9225,,320,,B9909,,ZGGG,ZLXY,,,,,,,"(FPL-CSZ9225-IS
-A320/M-SDE2E3FGHIRWZ/LB1
-ZGGG1225
-M078S0980 AGVIL W24 OSNOV G586 QP B330 SJG/M078S0950 W102 SHX
-ZLXY0208 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B9909 EET/ZHWH0117
 ZLHW0140 
SEL/ELCG CODE/7809D6 PER/C RMK/TCAS CATII300 LVTO200 AOC PHONE
 008675527777352)"
2025-08-18_CCA2893_ZBTJ_ZLXY,2025-08-18 17:44:51,DLA,CCA2893,,,,,,ZBTJ,ZLXY,,,,1105,,,(DLA-CCA2893-ZBTJ1105-ZLXY-DOF/250818)
2025-08-18_GCR7988_ZLXY_ZBTJ,2025-08-18 17:52:03,DLA,GCR7988,,,,,,ZLXY,ZBTJ,,,,1300,,,(DLA-GCR7988-ZLXY1300-ZBTJ-DOF/250818)
